epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,13858.6,0.8278,0.38772,1.15092,0.99804,0.99846,0.99497,0.84886,0.70285,0.24312,1.00247,0.00239766,0.00239766,0.00239766
70,14060.1,0.82635,0.38889,1.14882,0.99795,0.99846,0.99497,0.84909,0.70184,0.24266,1.00176,0.00226769,0.00226769,0.00226769
71,14261.1,0.82283,0.38502,1.14853,0.99788,0.99846,0.99497,0.8496,0.70092,0.24197,1.00112,0.00214046,0.00214046,0.00214046
72,14461.7,0.81995,0.38427,1.14437,0.99784,0.99846,0.99497,0.85039,0.7001,0.24146,1.00051,0.00201611,0.00201611,0.00201611
73,14661.4,0.81688,0.38154,1.14198,0.9978,0.99846,0.99496,0.85031,0.69903,0.24084,0.99978,0.00189475,0.00189475,0.00189475
74,14862.4,0.81263,0.37926,1.14085,0.99731,0.99848,0.99496,0.85047,0.69812,0.24023,0.99919,0.00177651,0.00177651,0.00177651
75,15063.5,0.81323,0.37787,1.14342,0.99732,0.99855,0.99497,0.85079,0.69714,0.23984,0.9985,0.00166149,0.00166149,0.00166149
76,15264.4,0.80713,0.37444,1.13393,0.99732,0.99885,0.99497,0.85115,0.69629,0.23919,0.99792,0.00154982,0.00154982,0.00154982
77,15464,0.80699,0.37258,1.13479,0.99731,0.99885,0.99497,0.85186,0.69554,0.2387,0.99735,0.00144161,0.00144161,0.00144161
78,15665.4,0.79795,0.3713,1.13348,0.99766,0.99885,0.99497,0.85246,0.69467,0.23845,0.99673,0.00133695,0.00133695,0.00133695
79,15866.4,0.80147,0.37081,1.13321,0.99764,0.99885,0.99497,0.85293,0.69364,0.23812,0.99606,0.00123596,0.00123596,0.00123596
80,16067.3,0.80067,0.3708,1.13578,0.99762,0.99885,0.99497,0.85321,0.69293,0.23756,0.9956,0.00113873,0.00113873,0.00113873
81,16268.1,0.7935,0.36913,1.12897,0.9976,0.99885,0.99497,0.8532,0.69211,0.2371,0.99499,0.00104537,0.00104537,0.00104537
82,16468.9,0.79461,0.36763,1.13004,0.99798,0.99885,0.99497,0.85348,0.69122,0.23644,0.99435,0.000955951,0.000955951,0.000955951
83,16670.2,0.79437,0.36768,1.13129,0.99795,0.99885,0.99498,0.85411,0.6905,0.23556,0.99377,0.000870577,0.000870577,0.000870577
84,16870.3,0.78917,0.36453,1.12634,0.99756,0.99885,0.99498,0.85452,0.68975,0.23504,0.99311,0.000789327,0.000789327,0.000789327
85,17070.9,0.78105,0.35955,1.12246,0.99756,0.99885,0.99498,0.8545,0.68896,0.2344,0.99252,0.000712282,0.000712282,0.000712282
86,17271.9,0.78519,0.36099,1.12388,0.99797,0.99885,0.99498,0.85493,0.68824,0.23388,0.99198,0.000639518,0.000639518,0.000639518
87,17472.8,0.78236,0.36084,1.12002,0.998,0.99885,0.99498,0.8553,0.68741,0.23368,0.99137,0.000571106,0.000571106,0.000571106
88,17672.7,0.77837,0.3585,1.12054,0.99808,0.9984,0.99498,0.85587,0.68664,0.2334,0.99081,0.000507115,0.000507115,0.000507115
89,17874.5,0.78139,0.35658,1.11937,0.99808,0.99868,0.99498,0.85596,0.68589,0.23321,0.99026,0.000447606,0.000447606,0.000447606
90,18075.7,0.77961,0.35641,1.11754,0.99805,0.99885,0.99498,0.85603,0.68516,0.23297,0.98981,0.00039264,0.00039264,0.00039264
91,18275.8,0.77732,0.35826,1.1214,0.99808,0.99878,0.99498,0.85667,0.68446,0.2326,0.98924,0.00034227,0.00034227,0.00034227
92,18477.1,0.77629,0.35472,1.11877,0.99808,0.99877,0.99498,0.85652,0.68365,0.23218,0.98866,0.000296546,0.000296546,0.000296546
93,18678.7,0.77701,0.3555,1.11862,0.99808,0.99876,0.99498,0.85684,0.68304,0.232,0.98818,0.000255513,0.000255513,0.000255513
94,18880,0.77634,0.35676,1.11705,0.99808,0.99876,0.99498,0.85755,0.68238,0.2316,0.98775,0.000219212,0.000219212,0.000219212
95,19081,0.77258,0.35236,1.11627,0.99808,0.99877,0.99498,0.85784,0.68169,0.23126,0.98723,0.000187678,0.000187678,0.000187678
96,19282.2,0.77304,0.35047,1.11362,0.99846,0.99878,0.99498,0.85788,0.68098,0.23098,0.98674,0.000160943,0.000160943,0.000160943
97,19483.6,0.76735,0.35201,1.11329,0.99808,0.99878,0.99498,0.85806,0.6802,0.23097,0.98617,0.000139032,0.000139032,0.000139032
98,19685,0.76619,0.34936,1.11046,0.9977,0.99876,0.99499,0.85776,0.67951,0.23051,0.9857,0.000121968,0.000121968,0.000121968
99,19886,0.77041,0.35152,1.11455,0.99808,0.99876,0.99499,0.85781,0.67884,0.23018,0.98523,0.000109768,0.000109768,0.000109768
100,20100.9,0.66235,0.25139,0.9968,0.99805,0.99846,0.99499,0.85841,0.67822,0.22993,0.98483,0.000102443,0.000102443,0.000102443
